OBJECTID,NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,COMMENTS,Shape_Length,Shape_Area,SSL,DATE_ACQUIRED
164,RH Terrell Recreation Center,155 L STREET NW,REC CENTER GROUNDS,DPR_0049,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,none,,,476.8739412,12440.41622,0557    0171,
165,H.D. Woodson Aquatic Center,540 55TH STREET NE,AQUATIC CENTER,DPR_0050,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,none,HD Woodson,,500.5910993,9519.35136,5218    0026,
166,DPR Central Office,1250 U STREET NW,ADMIN,DPR_0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,none,,,190.274,1747.778064,0274    0133,
167,DPR Warehouse,1325 S STREET NW,ADMIN,DPR_0052,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,none,,,323.9860074,2194.245972,0238    0870,
168,Butler-Wyatt Clubhouse # 2 Boys & Girls Club,120 M STREET NW,SPECIALTY,DPR_0053,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,none,,,135.0177449,1125.651887,0557    0898,
169,Wilson Aquatic Center,3950 CHESAPEAKE STREET NW,AQUATIC CENTER,DPR_0054,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,none,,,174.8981708,1712.553801,1772    0009,
170,Joseph H. Cole Recreation Center,1299 NEAL STREET NE,REC CENTER GROUNDS,DPR_0055,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,none,,,534.6636284,10837.20301,4066    0821,
171,Ferebee-Hope Recreation Center,3999 8TH STREET SE,REC CENTER GROUNDS,DPR_0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,none,,,976.7275895,41601.034,6124    0045,
172,Fort Davis,"41st St., between Fort Davis St. & Fort Davis Pl., SE",REC CENTER GROUNDS,DPR_0713,Y,1,0,1,0,0,0,1,0,N,N,6,1,8,1,1,0,0,Y,,,,N,,N,1,10,Nw,RpAIR,Nw,Nw,Pr,ChnLnk,MdSlp,N,7,,7,,713,none,Map 8198 & A&T 3544-J (TOJ for Recreation Purposes),591.9960907,19037.41908,Multiple Lots,1972-11-14T00:00:00.000Z
173,10th Street Community Park,"10th Street NW, between L Street NW and M Street NW",SMALL PARK,DPR_0002,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,none,none,,107.1890043,368.8563545,0369    0877,
174,Columbia Heights Civic Plaza,Intersection of Park Road NW and 14th Street NW,SMALL PARK,DPR_0003,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,none,none,,116.1790987,702.319893,2843    0834,
175,Triangle Park RES 0422,"Chevy Chase Parkway,Chevy Chase Parkway,Oliver St.,NW",TRIANGLE,DPR_0422,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,422,none,TOJ for Comp Plan,98.6718764,411.7656062,RES 04220000,
176,Triangle Park RES 0648,"14th St., between Underwood St. & Luzon Ave., NW",TRIANGLE,DPR_0648,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,648,none,TOJ for Comp Plan,102.1401917,444.8946024,PAR 00880225,
177,Legacy Memorial Park,South Dakota Ave NE and New Hampshire Ave NW,PARK,DPR_0756,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reference Sub bk 209, pg 29 ",140.2011894,1207.593904,Multiple Lots,
178,"Triangle Park RES 0048,0049","Pennsylvania Ave., between 8th, 9th St. and South Carolina Ave., SE",TRIANGLE,DPR_0048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,"480,049",none,"Subdivision 204, Page 198. GAO Federal Real Property Report.  TOJ to DC for Parks, Recreation & Open Space",417.8040078,3617.949912,Multiple Lots,
179,Triangle Park RES 0047,"Pennsylvania Ave., east of 8th St., SE",TRIANGLE,DPR_0047,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,47,none,"Subdivision 204, Page 198. GAO Federal Real Property Report.  TOJ to DC for Parks, Recreation & Open Space",47.04238395,82.57987548,0924S   0800,
180,Triangle Park RES 0046,"Pennsylvania Ave., west of 8th and D Sts., SE",TRIANGLE,DPR_0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,46,none,"Subdivision 204, Page 198. GAO Federal Real Property Report.  TOJ to DC for Parks, Recreation & Open Space",59.76604069,132.035197,0901S   0803,
181,Marie Reed,"18th St. and Kalorama Rd., NW",REC CENTER GROUNDS,DPR_0664,Y,0,0,2,0,0,0,2,0,N,N,0,0,4,1,0,0,0,N,0,0,0,Y,,N,0,4,RpLACE,RpLACE,Nw,RpLACE,RpAIR,ChnLnk,MdSlp,N,1,,4,,664,Marie Reed Learning Center,"Subdivision 158, Page 28.  TOJ to DC for recreation purposes",528.6422871,15613.97441,Multiple Lots,
182,Anacostia Recreation Center,1800 Anacostia Drive SE,REC CENTER GROUNDS,DPR_343D,Y,,,,,,,9,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,6,,,,343D,none,Tennis courts are NPS' responsiblity,1165.812574,44112.80572,PAR 02550019,2001-01-01T00:00:00.000Z
183,Oxon Run Park,"Mississippi Ave., between 1st St. and Southern Ave., SE",PARK,DPR_0501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,501,,Subdivision Book 158 Page 36. TOJ for recreation and related purposes.,1510.347165,69410.99888,Multiple Lots,1930-01-01T00:00:00.000Z
184,Triangle,100 Block of Xenia St SE,TRIANGLE,DPR_0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,none,,Subdivision Book 158 Page 36. TOJ for recreation and related purposes.,47.54013989,73.91728405,6128    0808,
185,Triangle,100 Block of Yuma St SE,TRIANGLE,DPR_0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,none,,Subdivision Book 158 Page 36. TOJ for recreation and related purposes.,105.8765859,508.7668705,6128    0811,
186,Triangle,100 Block of Xenia St SE,TRIANGLE,DPR_0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,none,,Subdivision Book 158 Page 36. TOJ for recreation and related purposes.,86.96797337,157.5913959,6128N   0805,
187,Chevy Chase Recreation Center,"Livingston St., between 41st St. and Western Ave., NW",REC CENTER GROUNDS,DPR_0431,Y,1,0,1,0,0,0,2,0,N,N,10,0,5,1,1,0,0,N,0,0,0,N,,N,1,14,Nne,RpAIR,RpLACE,RpLACE,RpLACE,ChnLnk,Flt,N,3,,1,Y,431,none,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),611.2138366,16997.42259,RES 04310000,1927-08-09T00:00:00.000Z
188,Takoma Recreation Center,"Van Buren St., between 3rd and 4th Sts., NW",REC CENTER GROUNDS,DPR_0377,Y,1,0,1,0,1,0,0,0,N,N,5,1,1,1,1,0,0,N,0,0,0,,,Y,,4,RpLACE,RpAIR,Nne,Nne,Pr,ChnLnk,MdSlp,Y,4,,9,,377,none,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),558.038,19430.26793,RES 03770000,1972-11-14T00:00:00.000Z
189,Takoma Community Center,"Van Buren and Sheridan Sts., to 3rd & 5th Sts., NW",REC CENTER GROUNDS,DPR_0445,Y,3,0,0,0,0,1,6,0,N,Y,0,1,0,0,0,1,0,Y,0,0,0,,,Y,,5,RpLACE,RpLACE,,Nne,Gd,Nne,Flt,N,4,,9,,445,none,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),1414.818,67656.4393,RES 04450000,1971-10-18T00:00:00.000Z
190,Raymond,"Spring Rd., between Quincy and 9th Sts., NW",REC CENTER GROUNDS,DPR_0486,Y,1,0,1,0,0,0,2,0,N,N,2,0,0,1,1,0,0,N,0,0,0,N,,N,2,0,RpLACE,Nne,RpAIR,RpLACE,RpAIR,ChnLnk,Flt,N,4,,9,N,486,Paul Robeson Center,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),420.8263847,10418.33938,RES 04860000,1972-11-14T00:00:00.000Z
191,Forest Hills Playground,"32nd & Chesapeake Sts., NW",PARK,DPR_0654,Y,0,1,0,0,0,0,2,0,,Y,,,,1,1,0,0,,,,,,,,,,,,,,,,,N,3,,1,,654,none,Subdivision Book 162 Page 1 (TOJ for Recreation Purposes),449.1329672,12146.92852,RES 06540000,1972-12-14T00:00:00.000Z
192,Newark Community Gardens,"east of 39th St. and south of Newark St., NW",PARK,DPR_351L,Y,,,,,,,3,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,Y,3,,2,,351L,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),568.5856892,20020.07682,1818    0848,1972-12-14T00:00:00.000Z
193,Bunker Hill Triangle Park,"Michigan Ave.,18th St.,Bunker Hill Rd.,NE",TRIANGLE,DPR_0696,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,11,,696,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),356.0640143,5499.837292,PAR 01470143,1972-12-14T00:00:00.000Z
194,Triangle Park 3278    0801,"4th St. and Blair Rd., NW",SMALL PARK,DPR_0032,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,none,none,,96.74741511,398.1297601,3278    0801,
195,Dwight A. Moseley,"18th and Perry Sts., NE",REC CENTER GROUNDS,DPR_0476,Y,1,2,4,0,0,0,5,0,N,N,0,1,2,1,1,0,0,N,0,0,0,N,,N,0,4,Nw,Nne,Nw,RpLACE,Gd,ChnLnk,Flt,Y,5,,10,N,476,Taft Center,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),747.3534955,33171.28032,RES 04760000,
196,Arthur Capper Community Center,1000 5TH STREET SE,REC CENTER GROUNDS,DPR_0012,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,124,,Subdivision Book 137 Page 7 (TOJ for Recreation Purposes),831.2654259,33148.69372,0880    0027,
197,Parkview,"Warder St, between Otis and Princeton Pls, NW",REC CENTER GROUNDS,DPR_0613,Y,1,0,1,0,0,0,0,0,N,N,3,1,3,1,0,0,1,N,0,0,0,N,,N,0,4,Nw,RpLACE,Nw,RpLACE,Pr,ChnLnk,Flt,N,1,,4,,none,Park View Elementary School,,315.4067036,5894.887563,3032    0001,
198,Triangle Park RES 0477,"Wisconsin Ave.,39th St. ,Veazy St.,NW",TRIANGLE,DPR_0477,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,477,none,TOJ for Comp Plan,88.78793863,269.8279074,RES 04770000,
199,Chevy Chase Community Center,"Connecticut Ave. and McKinley St., NW",REC CENTER GROUNDS,DPR_0034,Y,0,0,1,0,0,0,0,0,N,N,2,0,2,1,1,0,0,N,0,0,0,N,,N,1,0,Nne,RpLACE,RpLACE,RpLACE,RpLACE,ChnLnk,Flt,N,3,,1,N,none,none,"County Books (21 & 24), Page 49, Survey Books (38 & 114), Pages (139 & 303), A&T Plat 446",349.5868707,6851.562624,1866    0823,
200,Upshur,"14th St. and Arkansas Ave., NW",REC CENTER GROUNDS,DPR_0035,Y,1,0,2,0,1,0,0,0,N,Y,0,1,1,1,1,0,1,N,0,0,0,N,,Y,2,8,Nw,RpLACE,RpLACE,RpLACE,RpLACE,ChnLnk,MdSlp,N,4,,9,Y,none,Sharpe Health Special Education School,<Null>,797.5602263,24247.06652,Multiple Lots,
201,Center Parking,"Glenbrook Rd. & Rockwood Pkwy., NW",MEDIAN,DPR_0638,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,638,none,TOJ for Comp Plan,198.9300122,1283.311811,1513    0901,1972-12-14T00:00:00.000Z
202,Macomb,"Macomb St., between 34th and 35th Sts., NW",REC CENTER GROUNDS,DPR_0036,Y,1,0,1,0,0,0,0,0,N,N,4,0,3,1,1,0,0,N,0,0,0,N,,N,0,5,Nne,Gd,Nw,RpLACE,Pr,ChnLnk,MdSlp,N,3,,2,N,none,none,,288.5528115,4967.513003,2078    0838,
203,Triangle Park RES 310A,"Park Rd.,Mt. Pleasant St.,Park Rd.,NW",TRIANGLE,DPR_310A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,310A,none,"Subdivision Book 158, Page 45.  TOJ to DC for Comp Plan",100.4771163,465.5479919,RES 310A0000,
204,Langdon Park,"18th St. & Mills Ave., to Hamlin & Franklin Sts., NE",REC CENTER GROUNDS,DPR_0446,Y,1,0,2,0,0,0,4,0,Y,Y,0,1,15,1,1,0,1,N,0,0,0,,,Y,1,15,,RpLACE,RpLACE,RpLACE,Pr,Nne,Stp,N,5,,11,N,446,Langdon Elementary School,Subdivision Books (118 & 139) Pages (198 & 21) (TOJ to DC for Recreation purposes),1818.120185,78694.38362,RES 04460000,1969-01-22T00:00:00.000Z
205,Noyes Park,"1000 Franklin Street, NE",PARK,DPR_0037,Y,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,,,,0,0,,,,,,ChnLnk,,N,5,,10,,none,Noyes Elementary School,,284.5829185,3671.744018,3874    0801,
206,Edgewood,"Douglas St., between Franklin St. and Lincoln Rd., NE",REC CENTER GROUNDS,DPR_0534,Y,0,2,3,0,0,0,2,0,N,N,2,0,1,1,0,0,0,N,0,0,0,N,,N,1,0,RpLACE,Nne,RpAIR,RpLACE,Pr,ChnLnk,Flt,N,5,,10,N,534,Shaed Elementary School,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),627.1739448,19821.14964,RES 05340000,1971-10-18T00:00:00.000Z
207,Banneker,"Georgia Ave. and Euclid St., NW",REC CENTER GROUNDS,DPR_0506,Y,1,1,2,0,0,0,8,0,N,N,5,2,0,1,0,0,2,,0,0,0,,,,1,11,RpAIR,RpAIR,,RpLACE,Pr,ChnLnk,MdSlp,N,1,,4,,506,Benjamin Banneker High School,Subdivision Books (36 & 99) Pages (23 & 9) (TOJ to DC for Recreation & School purposes),1005.218589,54381.74514,RES 05060000,1977-01-01T00:00:00.000Z
208,14th and Girard Park,"14th and Girard Sts., NW",PARK,DPR_0038,Y,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,1,,4,,none,none,,132.8517545,1094.32344,2860    0831,2011-01-01T00:00:00.000Z
209,Pinehurst Circle,"Western Ave and Pinhurst Circle, NW",PARK,DPR_0564,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,4,,1,,564,none,TOJ for Comp Plan,187.776736,1932.097976,RES 05640000,1972-12-14T00:00:00.000Z
210,Plymouth Circle,"Plymouth St. & Parkside Ln., NW",CIRCLE,DPR_0616,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,616,none,TOJ for Comp Plan,66.87896227,355.9332761,RES 06160000,
211,Triangle Park RES 0566,"Plymouth Street at Sudbury Lane, NW",MEDIAN,DPR_0566,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,566,none,TOJ for Comp Plan,146.6569607,1204.553466,RES 5660000,
212,Lamond,"Kansas Ave., between Underwood and Tuckerman Sts., NW",REC CENTER GROUNDS,DPR_0685,N,1,0,0,0,0,0,0,0,N,N,0,0,0,1,0,0,0,,0,0,0,,,,0,0,,,,,,,,N,4,,9,,685,none,Subdivision Books (158 & 198) Pages (37 & 170) (TOJ for Recreation Purposes),414.5256859,10516.29506,RES 06850000,1972-11-14T00:00:00.000Z
213,Riggs Road Playground,"Riggs Road & Nicholson St., NE",REC CENTER GROUNDS,DPR_0665,Y,1,0,0,1,0,0,0,0,N,N,0,0,0,1,0,0,1,N,0,0,0,Y,,N,0,2,Nw,RpLACE,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,4,,10,N,665,LaSalle Elementary School,Subdivision Books (136 & 152) Pages (183 & 136) (TOJ to DC for Recreation & school purposes),644.1889624,24559.68257,RES 06650000,1968-01-18T00:00:00.000Z
214,Rudolph,"Ingraham and Hamilton Sts., to 2nd & 3rd Sts., NW",REC CENTER GROUNDS,DPR_0517,Y,2,0,4,0,0,0,0,0,N,N,0,0,0,1,0,0,0,N,0,0,0,N,,N,1,2,RpLACE,RpLACE,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,4,,10,N,517,Rudolph Elementary School,Subdivision Books (141 & 149) Pages (125 & 170) (TOJ to DC for school purposes),605.1164442,21322.67058,3327    0800,1972-11-14T00:00:00.000Z
215,Hamilton,"13th and 14th Sts., to Hamilton & Gallatin Sts., NW",REC CENTER GROUNDS,DPR_0493,Y,1,0,2,0,0,0,0,0,N,N,3,0,1,1,1,0,0,N,0,0,0,N,,N,0,4,Nne,Nne,RpAIR,RpLACE,RpAIR,ChnLnk,Flt,N,4,,9,N,493,none,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),375.1605229,6003.823908,2805    0806,1971-12-18T00:00:00.000Z
216,Turkey Thicket,"Shepherd St. and Michigan Ave., NE",REC CENTER GROUNDS,DPR_0496,N,0,1,0,0,0,0,0,0,N,N,0,0,0,1,0,0,0,,0,0,0,,,,0,0,,,,,,,,N,5,,10,,496,Brookland Elementary School,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),937.8704368,42456.14076,3888    0803,1972-11-14T00:00:00.000Z
217,Triangle Park RES 0322,"New Hampshire Ave.,8th St.,Randolph St.,NW",TRIANGLE,DPR_0322,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,322,none,TOJ for Comp Plan,134.4153307,719.2293654,3131W   0800,
218,Triangle Park RES 0140,"New Hampshire Ave.,21st St.,M St.,NW",TRIANGLE,DPR_0140,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,140,none,TOJ for Comp Plan,122.7437029,489.9905131,RES 01400000,
219,Francis,"25th and N Sts., NW",REC CENTER GROUNDS,DPR_0639,Y,1,0,1,0,0,0,4,0,N,Y,0,0,0,1,0,0,1,N,0,0,0,N,,Y,0,0,,Gd,RpAIR,RpAIR,Pr,ChnLnk,Flt,Y,2,,6,,639,Francis Junior High School,"Subdivision 158, Page 11.  TOJ to DC for recreation purposes",734.1613765,10708.87757,RES 06390000,1971-10-18T00:00:00.000Z
220,Happy Hollow Childrens Pool,2200 CHAMPLAIN STREET NW,AQUATIC CENTER,DPR_0057,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,none,,,97.57244042,558.8699555,2562    0826,
221,Dunbar Aquatic Center,101 N STREET NW,AQUATIC CENTER,DPR_0058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,none,,,235.6795567,2506.975268,0554    0860,
222,Kenilworth-Parkside Recreation Center,1300 44TH STREET NE,REC CENTER GROUNDS,DPR_0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,none,,,485.7953357,14255.1854,5101    0801,
223,Euclid Street Garden,"14th and Euclid Sts., NW",,DPR_0060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,none,,No full address but ADDRESS_ID is 307971 and 310213,129.8439987,988.474428,2664    0031,
224,The Park at LeDroit,4th Street NW and V Street NW,SMALL PARK,DPR_0061,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,none,,GAGE ECKINGTON PARK.  ADDRESSES ARE RETIRED.  Now named The Park at LeDroit,551.1882695,13105.84997,3082    0826,
225,7th & N Street Playground,"7th & N Streets, NW",,DPR_0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,none,,,209.088219,2605.213808,0448    0113,
226,DC General Playground,"1900 Massachusetts Avenue, SE",PARK,DPR_0013,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,13,none,,382.888839,7189.934962,RES 00130000,
227,26th & I Street Playground,"26th & I Streets, NW",SMALL PARK,DPR_0064,Y,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,none,none,,99.28200001,602.7310701,,
228,Theodore Hagans,"3201 Fort Lincoln Drive, NE",REC CENTER GROUNDS,DPR_0009,Y,2,0,2,0,0,0,8,0,N,Y,0,1,1,1,0,0,1,Y,3,0,0,N,,Y,1,68,Nw,RpAIR,RpAIR,RpLACE,Pr,ChnLnk,MdSlp,N,5,,11,N,none,Marshall Education Center,Need to identify TOJ documentation,773.1794407,32841.6298,4327    1156,
229,Sherwood,"9th and 10th Sts., to F and G Sts., NE",REC CENTER GROUNDS,DPR_0552,Y,0,0,1,0,0,0,1,0,N,N,3,1,0,0,0,0,0,N,0,0,0,N,,N,0,0,,Pr,Nw,RpLACE,Pr,Ir,Flt,N,6,,12,,552,Madison,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),360.732,7750.966464,RES 05520000,1972-11-14T00:00:00.000Z
230,Bishop Lalossu Memorial Park,"Massachusetts Ave.,36th St.,Garfield St.,NW",TRIANGLE,DPR_0330,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,330,none,TOJ for Comp Plan,111.8094927,535.6314501,1942W   0800,2010-01-01T00:00:00.000Z
231,Triangle Park RES 0328,"Massachusetts Ave.,35th St.,Fulton,NW",TRIANGLE,DPR_0328,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,328,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),240.5123874,2544.558149,RES 03280000,
232,Alger Park,"31st and W Sts., to Park and Hillcrest Drs., SE",PARK,DPR_0489,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,N,7,,7,,489,none,Subdivision Book 158 Page 50 (TOJ for Recreation Purposes),1062.28152,29645.86067,RES 04890000,1999-01-01T00:00:00.000Z
233,Randall,"west of S. Capitol St., between G and K Sts., SW",REC CENTER GROUNDS,DPR_0484,Y,1,1,2,0,0,0,3,0,N,N,2,1,2,1,1,0,1,N,0,0,0,Y,,N,1,22,RpAIR,RpLACE,RpLACE,RpLACE,Pr,ChnLnk,Flt,N,6,,5,,484,Randall,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),794.5583,35056.36619,RES 04840000,1971-10-18T00:00:00.000Z
234,Triangle Park RES 312D,"Arkansas Ave.,13th St.,Emerson St.,NW",TRIANGLE,DPR_312D,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,312D,none,TOJ for Comp Plan,192.3494732,1467.3755,RES 312D0000,
235,Triangle Park RES 312E,"Arkansas Ave.,Georgia Ave.,Farragut St.,NW",TRIANGLE,DPR_312E,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,312E,none,TOJ for Comp Plan,134.4416226,775.9855376,RES 312E0000,
236,Triangle Park RES 312H,"Illinois Ave.,9th St.,Ingraham St.,NW",TRIANGLE,DPR_312H,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,312H,none,TOJ for Comp Plan,98.81327115,335.9057351,RES 312H0000,
237,Triangle Park RES 312C,"Illinois Ave.,9th St.,Gallatin St.,NW",TRIANGLE,DPR_312C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,312C,none,TOJ for Comp Plan,253.1913432,2274.9494,RES 312C0000,
238,Emery,"Georgia Ave. and Madison St., NW",REC CENTER GROUNDS,DPR_0029,Y,1,0,1,0,0,0,1,0,N,Y,5,2,1,1,1,0,0,N,,,,N,,Y,1,3,Nw,Pr,Nw,RpLACE,Pr,Ir,MdSlp,Y,4,,9,,none,none,,761.6324593,36107.36909,2988    0802,
239,Triangle Park RES 0585,"New Hampshire Ave.,3rd St.,Decatur St.,NW",TRIANGLE,DPR_0585,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,585,none,TOJ for Comp Plan,90.97981767,331.2146251,RES 05850000,
240,Triangle Park RES 0413,"New Hampshire Ave., between 4th & Buchanan Sts., NW",TRIANGLE,DPR_0413,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,413,none,TOJ for Comp Plan,80.379654,259.2475364,RES 04130000,
241,Triangle Park RES 0526,"Kansas Ave.,5th St.,Farragut St.,NW",TRIANGLE,DPR_0526,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,526,none,TOJ for Comp Plan,84.99461105,363.4009074,RES 05260000,
242,Triangle Park RES 0319,"New Hampshire Ave.,7th St.,Taylor St.,NW",TRIANGLE,DPR_0319,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10,,319,none,TOJ for Comp Plan,138.2978352,764.3347699,RES 03190000,
243,Triangle Park RES 0505,"18th St. and Argyle Terr., NW",SMALL PARK,DPR_0505,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,505,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),129.0636852,805.5091524,RES 05050000,
244,Park Road Park,Park Rd. and 19th St. NW,SMALL PARK,DPR_310C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,310C,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),111.0596357,616.830756,RES 310C0000,1972-12-14T00:00:00.000Z
245,Triangle Park RES 0533,"34th St., between Ordway St. & Reno Rd., NW",TRIANGLE,DPR_0533,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,533,none,TOJ for Comp Plan,119.4069227,485.1928013,RES 05330000,
246,Marvin Caplan Memorial Park,"Alaska Ave.,13th St.,Holly St.,NW",TRIANGLE,DPR_0340,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,9,,340,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),164.0996129,1178.272743,RES 03400000,1972-12-14T00:00:00.000Z
247,Oxon Run Park,"Mississippi Ave., between 1st St. and Southern Ave., SE",LARGE PARK,DPR_0502,Y,2,,2,,,,10,,,,,,,4,,,,,,,,,,,,,,,,,,,,N,8,,8,,501,Simon Elementary School,"Subdivision 158, Page 36,128, Page 146,136, Page 93,144, Page 48 Referenced for this TOJ to DC for recreation purposes.",7343.685276,421162.7053,RES 05010000,1930-01-01T00:00:00.000Z
248,Hearst,"37th St. and Idaho Ave., NW",REC CENTER GROUNDS,DPR_0527,Y,1,0,1,0,1,0,3,0,N,Y,2,0,3,0,1,0,0,N,0,0,0,N,,N,0,2,Nne,Nne,RpAIR,RpLACE,Pr,ChnLnk,MdSlp,N,3,,2,Y,527,Hearst Elementary School,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),550.1663732,17782.68269,1905    0802,1972-12-14T00:00:00.000Z
