Dir_Name_Display,Dir_School_Code,Dir_Street,Dir_City,Dir_State,Dir_Zip,Dir_School_Code - Longitude,Dir_School_Code - Latitude,Dir_Ward,Dir_Phone,Dir_Fax,Dir_Website,Principal_Name,Principal_Email,GR_Text,Hours,Highlight,Aca_Enr_1,Aca_Enr_2,Aca_Enr_3,Aca_Enr_4,Aca_Enr_5,Well_Fit_1,Well_Fit_2,Well_Fit_3,Well_Fit_4,Well_Fit_5,Art_Cult_1,Art_Cult_2,Art_Cult_3,Art_Cult_4,Art_Cult_5,SPED_1,SPED_2,SPED_3,SPED_4,SPED_5,SPED_6,Feed_1,Feed_2,Feed_3,Feed_4,Feed_5,Feed_6,Feed_7,Dest_1,Dest_2,Facil_Art,Facil_Audit,Facil_Comp,Facil_Gym,Facil_Media,Facil_Music,Facil_Outdoor_Rec,Facil_Pool,Facil_Science,After_care,Before_care,Uniform,Title_1,Offers_Guaranteed_PK3_PK4_Slots?,Family_Active_Parent_Org,Partner_1,Partner_2,Partner_3,Partner_4,Partner_5,Partner_6,Partner_7,Partner_8,Partner_9,Partner_10,Car_Path_1,Car_Path_2,Car_Path_3,Car_Path_4,Car_Path_5,Car_Path_6,Car_Path_7,Car_Path_8,Trans_Bus,Trans_Metro,AYP_Status,AYP_Status_Desc,Energy_Star_Rtg,DCPS_Recycles_Honor_Roll?,LEED_Level,Enroll_Total,Demo_Asian,Demo_Black,Demo_Hispanic,Demo_N.Amer,Demo_White,Demo_Multi,Demo_NHawPI,Demo_ELL,Demo_SPED,Demo_EconDis,Demo_Inboundary,math_pct_1_current,math_pct_1_prior,math_pct_2_current,math_pct_2_prior,math_pct_3_current,math_pct_3_prior,math_pct_4_current,math_pct_4_prior,math_pct_5_current,math_pct_5_prior,math_district_pct_1,math_district_pct_2,math_district_pct_3,math_district_pct_4,math_district_pct_5,ela_pct_1_current,ela_pct_1_prior,ela_pct_2_current,ela_pct_2_prior,ela_pct_3_current,ela_pct_3_prior,ela_pct_4_current,ela_pct_4_prior,ela_pct_5_current,ela_pct_5_prior,ela_district_pct_1,ela_district_pct_2,ela_district_pct_3,ela_district_pct_4,ela_district_pct_5,Perf_Grad_4yr_Current_Year,Perf_Grad_4yr_Prior_Year,Perf_Grad_4yr_District_Average,Perf_Grad_5yr_Current_Year,Perf_Grad_5yr_Prior_Year,Perf_Grad_5yr_District_Average,Perf_AP_Current_Year,Perf_AP_Prior_Year,Perf_AP_District_Average,Prog_Growth_Math_Current_Year,Prog_Growth_Math_Prior_Year,Prog_Growth_Math_District_Average,Prog_Growth_Read_Current_Year,Prog_Growth_Read_Prior_Year,Prog_Growth_Read_District_Average,Prog_9thGrade_Current_Year,Prog_9thGrade_Prior_Year,Prog_9thGrade_District_Average,Safe_ISA_Current_Year,Safe_ISA_Prior_Year,Safe_Attendance_District_Average,Safe_Truancy_Current_Year,Safe_Truancy_Prior_Year,Safe_Truancy_District_Average,Safe_Suspension_Current_Year,Safe_Suspension_Prior_Year,Safe_Suspension_District_Average,Safe_Incidents_Current_Year,Safe_Incidents_Prior_Year,Safe_Incidents_District_Average,Safe_Safety_Current_Year,Safe_Safety_Prior_Year,Safe_Safety_District_Average,Perf_Engage_Current_Year,Perf_Engage_Prior_Year,Perf_Engage_District_Average,Safe_Reenroll_Current_Year,Safe_Reenroll_Prior_Year,Safe_Reenroll_District_Average,Perf_Teachers_Current_Year,Perf_Teachers_Prior_Year,Perf_Teachers_District_Average,Unique_Defined1_Metric,Unique_Defined1_Description,Unique_Defined1_Current_Year,Unique_Defined1_Prior_Year,Unique_Defined1_District,Unique_Defined2_Metric,Unique_Defined2_Description,Unique_Defined2_Current_Year,Unique_Defined2_Prior_Year,Unique_Defined2_District
Noyes Elementary School,290,2725 10th St. NE,Washington,DC,20018,-76.99184288,38.92517798,5,(202) 281-2580,(202) 576-7397,profiles.dcps.dc.gov/Noyes+Education+Campus,Kermit Burks,kermit.burks@dc.gov,PK3-5th,8:45 a.m. – 3:15 p.m.,"Noyes Elementary is a member of President Obama's Turnaround Arts integration program. Our teachers use art strategies to help students better understand math, reading, social studies and science content.  We offer arts-themed student clubs including drum ensemble, robotics, theater, Jiu Jitsu, cheerleading and dance. In 2016, Noyes students performed for First Lady Michelle Obama at the White House, recorded a music video with superstar cellist Yo-Yo Ma, and performed a production of Annie Kids to rave reviews. Turnaround Arts has helped make the school climate more positive, collaborative, and fun.  And as a result, 97% of our students would recommend Noyes to a friend, 97% say that adults care about them and 96% say that teachers believe they can do challenging work.",Reading Partners,Extended day for 4th and 5th graders,Reading Specialist,ST Math,Geoplunge,Martial Arts,Drum Ensemble,Cheerleading,Dance,Robotics,Theater Club,Turnaround Arts,Art Therapy-GWU,Pokemon,,Early Learning Support,Specific Learning Support,,,,,,,,,,,,347,,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,Kelly Drye & Warren LLP,Jump Start,Victory Chrisitan Ministries Intl-DC,Georgetown Universtity Interns,School of Moses Powell DC,George Washington University,Turnaround Arts,Dance Place,,,,,,,,,,,83 86 B8 B9 D8 G8 G9 H8 H9 M31 P6 S41 T14 T18,,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,16,,,197,0%,90%,9%,1%,0%,0%,0%,5%,21%,100%,68%,23%,37%,29%,25%,24%,25%,24%,14%,0%,0%,23%,27%,23%,23%,5%,41%,33%,27%,40%,20%,19%,12%,6%,0%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,58%,40%,51%,49%,37%,54%,NA,NA,NA,94%,92%,93%,6%,6%,13%,9%,2%,4%,0%,0%,0%,86%,84%,85%,86%,92%,89%,70%,67%,81%,100%,86%,92%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,44%,15%,35%,PARCC math performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC Math.,23%,29%,21%
"Phelps Architecture, Construction and Engineering High School",478,704 26th St. NE,Washington,DC,20002,-76.97189763,38.90199202,5,(202) 729-4360,(202) 442-8438,phelpshsdc.org,Willie Jackson,willie.jackson@dc.gov,9th-12th,8:45 a.m. – 3:30 p.m.,"Phelps is a city-wide, comprehensive application high school with rigorous, innovative curricula. We aim to prepare students for higher education and careers in architecture, construction and engineering. Students will be prepared to succeed in college through a strong academic program with Honors and Advanced Placement courses. We have a modern, brand-new facility that gives our students the state-of-the-art tools they need to become college-ready with a CTE certificate of completion. Our new building also boasts computers in every classroom, a virtual heavy equipment simulation lab and Wi-Fi accessibility.",AP English,AP World History,AP Studio Art,AP Environmental Science,AP Psychology,Junior Varsity/Varsity Football,Cheerleading,Volleyball,Baseball/Softball,Boys and Girls Basketball,Debate Team,Math Club,International Club,Electrical Vehicle Team,Robotics Team,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,Architects of the Capitol (AOC),Mentor Foundation U.S.A.,Ironworkers Local 5/201,Office of Naval Research,Shakespeare Theatre,Plumbers & Pipe Fitters UA 5,Urban Alliance,Clark Construction,The Washington Architectural Foundation,Association of General Contractors (AGC) of DC,Architecture/Design,Carpentry,Electrical,NAF Academy of Engineering,HVAC,Networking/IT,Networking,,S41 X1 X2 X3 X9 X8,,Rising,Rising schools need support to continue growth. They have an overall index score above 44 but less than 80 and are not identified as Priority or Focus schools by any other criteria.,,Yes,Silver,328,0%,96%,4%,0%,0%,0%,0%,3%,14%,100%,NA,3%,16%,58%,63%,30%,20%,9%,1%,0%,0%,23%,27%,23%,23%,5%,33%,33%,10%,24%,34%,29%,16%,13%,7%,0%,26%,21%,21%,25%,7%,95%,94%,73%,96%,91%,74%,5%,9%,36%,NA,NA,51%,NA,NA,54%,88%,86%,86%,83%,87%,78%,79%,59%,54%,5%,12%,10%,0%,1%,1%,86%,73%,90%,68%,71%,82%,83%,81%,84%,88%,91%,92%,,,,,,,,,,
Randle Highlands Elementary School,316,1650 30th St. SE,Washington,DC,20020,-76.96435628,38.87009174,7,(202) 729-3250,(202) 645-3911,http://www.randlehighlandses.org/,Kristie Edwards,kristie.edwards@dc.gov,PK3-5th,8:40 a.m. – 3:15 p.m.,"Randle Highlands Elementary School represents a partnership of students, faculty and administrators who are united in their commitment to common objectives. Collectively we work to be a positive force in the community that inspires and prepares all students to become contributing and productive members of society. Through a rigorous blended learning program, students achieve measurable successes in their academic endeavors. Dedicated and motivated learners engage in hands-on, student-led experiences that are applicable to the global community. Our staff is dedicated to fostering a culture that addresses each child's unique learning style through targeted instruction, community partnerships, school-based initiatives and parental involvement.",Blended Learning Learning Instructional Model,Guided and Close Reading Programs,Tools of the Mind Early Childhood Developmental Program,Afterschool Academic Enrichment Program,The Writing Revolution - The Hochman Method,Competitive Cheerleading,Basketball,Dance,Tennis,Gardening,Fine Arts,N/A,Performing Arts,Student Government,GeoPlunge,,,,,,,,,,,,,,427,,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,Randle Highlands PTSA,Arent Fox LLC,Southeast Christian Fellowship Church,McClean Bible Church,Randle Highlands Civic Association,Hillcrest Heights Civic Association,Citiblossoms,Washington Area Bicyclist Association,,,,,,,,,,,30N 30S 32 34 36 39 B2 D51 M6 S35 V1 V2 V4,,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,6,Yes,,333,0%,98%,1%,0%,0%,0%,0%,0%,13%,100%,48%,18%,23%,33%,35%,30%,25%,17%,13%,2%,3%,23%,27%,23%,23%,5%,30%,30%,32%,31%,25%,32%,13%,6%,0%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,57%,49%,51%,57%,37%,54%,NA,NA,NA,93%,93%,93%,10%,3%,13%,6%,6%,4%,0%,0%,0%,77%,76%,85%,88%,81%,89%,85%,82%,81%,100%,87%,92%,,,,,,,,,,
Roosevelt High School,459,4301 13th St. NW,Washington,DC,20011,-77.029197,38.943029,4,(202) 576-6130,(202) 541-6449,theodorerooseveltdc.org,Aqueelha James,aqueelha.james@dc.gov,9th-12th,8:45 a.m. – 3:15 p.m.,"The mission of Theodore Roosevelt Senior High School is to provide a supportive environment in which every student will be prepared and empowered for success at the collegiate and career level in a way that contributes to our global society. Roosevelt is a premier comprehensive neighborhood high school serving the Ward 4 community of Washington DC. Particularly with the launch of our International Academy to serve the needs of students new to the United States, we fully embrace the rich academic, cultural and social diversity of our population. For families and students seeking rigorous career and college preparation who want to be a part of a transformative movement, Roosevelt is the multicultural comprehensive high school of choice.",International Academy (For New US Citizens),Advanced Placement and Honors Classes,JROTC,National Honor Society,BUILD Entrepreneurship,Boys and Girls Basketball and Soccer,"Track, Football, Baseball & Softball","Volleyball, Tennis & Golf","New Heights, Y.O.U.R. & Georgetown Medstar",Mary's Center & GA Ave. Fam. Supp. Collab.,Fly by Light & The Future Project,Kaizen Life Skills & Sadiki,Just Keep Livin',Marching Band & Salsa Band,Art Club & International Club,Behavior & Education Support,Communication & Education Support,Independence & Learning Support,Specific Learning Support,,,442,420,302,327,336,,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,Georgia Avenue Family Support Collaborative,The Future Project,Just Keep Livin Foundation,Advocates for Justice in Education,Y.O.U.R.,Break the Cycle,Mary's Center,Fly by Light (One Common Unity),Liberty's Promise,,Culinary Arts,,,,,,,,52 53 54 60 62 63 70 S1 S2 S4,,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",90,Yes,,668,0%,54%,45%,0%,1%,0%,0%,36%,21%,100%,63%,30%,36%,53%,55%,13%,8%,4%,1%,0%,0%,23%,27%,23%,23%,5%,68%,63%,15%,15%,8%,15%,9%,6%,0%,1%,26%,21%,21%,25%,7%,60%,59%,73%,63%,68%,74%,5%,6%,36%,NA,NA,51%,NA,NA,54%,81%,62%,86%,76%,76%,78%,67%,64%,54%,12%,15%,10%,0%,1%,1%,84%,76%,90%,86%,65%,82%,76%,79%,84%,96%,95%,92%,,,,,,,,,,
School Without Walls High School,466,2130 G St. NW,Washington,DC,20037,-77.04818647,38.89812412,2,(202) 645-9690,(202) 724-8536,www.swwhs.org,Richard Trogisch,richard.trogisch@dc.gov,9th-12th,8:45 a.m. – 3:15 p.m.,"School Without Walls (SWW) is a public magnet high school established in 1971, and accredited by the Middle States Association of Colleges and Schools. Over the years, the school has become one of the many outstanding schools in the District of Columbia Public School system. In 2010, Walls was recognized by the U.S. Department of Education as a Blue Ribbon School, a program that honors schools whose students achieve at high levels. US News and World Report 2017 list of America's best high schools ranked School Without Walls #88 in the nation. School Without Walls (SWW) provides a student centered environment that maximizes integrative, interactive, and experiential learning with the framework of a humanities approach. This program is achieved by using the city and the world as a classroom for students.",22 Advanced Placement Courses,"National Honors Societies: NHS, National French Honors, National Music Honors, National Art Honors, National Latin Honors",Student Government Association,GWU Student Mentor/Tutors,International Exchange Programs,20 Varsity Sports Teams,Crew,Ultimate Frisbee,Cheerleading,Contemporary and Hip-hop Dance Teams,Concert and Show Choirs,"Orchestra, Jazz and Stage Bands",Drama Club,Japanese Culture Club,African Culture Club,,,,,,,,,,,,,,,,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,U.S. Department of State,Office of Civil Rights,George Washington University,Georgetown University Law Center,The Kennedy Center,LearnServe International,Deloitte LLP,"Fried, Frank, Harris, Shriver & Jacobson LLP",,,,,,,,,,,30N 30S 31 33 32 36 37 38B 39 80 D1 D4 D5 D6 H1 L1 N2 N4 N6 S1 X1 DCCirculator,Blue/Orange/Silver Lines: Foggy Bottom/GWU Station,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,22,,,585,6%,34%,13%,0%,42%,5%,0%,0%,1%,18%,NA,3%,2%,7%,11%,22%,35%,60%,48%,8%,4%,23%,27%,23%,23%,5%,1%,4%,4%,4%,11%,8%,34%,39%,51%,45%,26%,21%,21%,25%,7%,98%,100%,73%,100%,97%,74%,75%,74%,36%,NA,NA,51%,NA,NA,54%,100%,100%,86%,91%,93%,78%,4%,7%,54%,1%,0%,10%,0%,0%,1%,99%,99%,90%,95%,97%,82%,95%,94%,84%,97%,91%,92%,Course passage,The percentage of students passing all required core courses.,99%,100%,81%,AP Enrollment,The percentage of students enrolled in one or more AP courses.,71%,69%,35%
Smothers Elementary School,322,4400 Brooks St. NE,Washington,DC,20019,-76.93846864,38.89355404,7,(202) 939-3600,(202) 724-2377,profiles.dcps.dc.gov/Smothers+Elementary+School,Kiana Williams,kiana.williams2@dc.gov,PK3-5th,8:45 a.m. - 4:15 p.m.,"Smothers Elementary seeks to build collegiality and collaboration among the staff and foster an environment where students love to come to school and teachers love to come to work.  We place the highest priority on reading, writing, and math instruction to ensure that our students have the skills needed to be career and college ready. We provide targeted interventions and supports to meet students’ academic and social-emotional needs as a means of developing the whole child. Smothers students will be critical thinkers, problem solvers, and productive citizens. We leverage the help of our community to make Smothers a great school because it is a school for the community.",Literacy Lab,Creative Curriculum,Extended Day,Lego Robotics League,Junior Great Books Literacy Enrichment Program,Athletics - Tennis & Basketball,DC SCORES,School Garden Club,,,Art Around the Corner,Washington Ballet,Spanish Club,,,Early Learning Support,,,,,,,,,,,,,421,,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,Washington Youth Garden,Living Classrooms,Live It Learn It,Story Time with Everybody Wins DC (EW!DC),Grace Apostolic Church,Mt. Vernon Church,Adopt-a-School Progam,,,,,,,,,,,,96 97 U5 U6 U8 W4,Blue/Orange/Silver Lines: Benning Rd. Station,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,72,,,253,0%,90%,8%,0%,0%,0%,0%,6%,13%,100%,55%,37%,45%,33%,34%,27%,13%,3%,8%,0%,0%,23%,27%,23%,23%,5%,49%,52%,31%,29%,15%,13%,5%,6%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,47%,30%,51%,53%,37%,54%,NA,NA,NA,90%,92%,93%,15%,3%,13%,13%,19%,4%,0%,0%,0%,71%,65%,85%,70%,54%,89%,70%,71%,81%,91%,77%,92%,PARCC ELA performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC ELA.,41%,22%,35%,PARCC math performance level change,The percentage of all 4-8 graders who moved up at least one performance level from one year to the next on the PARCC Math.,32%,14%,21%
Stanton Elementary School,319,2701 Naylor Rd. SE,Washington,DC,20020,-76.96849023,38.85927211,8,(202) 671-6180,(202) 645-3264,dcscholars.org/stanton,Caroline John Fisherow,caroline.fisherow@dc.gov ,PK3-5th,8:30 a.m. – 4:00 p.m.,"At DC Scholars Stanton Elementary, operated in partnership with DC Scholars Community Schools, our vision is for all children to have access to a high quality public education that challenges them to believe that anything is possible, and equips them with the tools to actualize their dreams.",Literacy Lab,Tutoring,Wilson Fundations,Girl Scouts 1-1 Tutoring,,"Athletics (basketball, track, kickball, cheerleading)",City Year,Martha's Table,DBH,Voices for a Second Chance,PAL,Kid Power,"Arts, Music and World Cultures Department",The Boys Institute,The Creative School,,,,,,,,,,,,,,417,,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,Flamboyan Foundation,Girl Scouts,Woodland Tigers Football Program,Collaborative Solutions for Communities,City Year,Martha's Table,Blessings in a Backpack,Voices for a Second Chance,Department of Behavioral Health,,,,,,,,,,30N 30S 32 34 36 92 A32 D51 V5 W2 W3 W4 W6 W8 DCCirculator,,Developing,Developing schools need support to continue growth. Developing schools have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,22,,In Progress,520,0%,97%,3%,0%,0%,0%,0%,0%,12%,100%,58%,19%,18%,35%,30%,31%,33%,15%,17%,1%,1%,23%,27%,23%,23%,5%,38%,44%,30%,29%,23%,17%,8%,9%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,41%,59%,51%,46%,40%,54%,NA,NA,NA,92%,92%,93%,25%,20%,13%,7%,5%,4%,0%,0%,0%,68%,63%,85%,84%,91%,89%,81%,85%,81%,87%,85%,92%,,,,,,,,,,
Washington Metropolitan High School,474,300 Bryant St. NW,Washington,DC,20001,-77.01558101,38.92043047,1,(202) 939-3610,(202) 671-2101,washingtonmetropolitanhs.org,Michael Alexander,michael.alexander2@dc.gov,8th-12th,8:00 a.m. - 4:30 p.m.,The vision of The Washington Metropolitan High School is to ensure that students are prepared with the academic skills and executive functions to be productive change agents in their community.,Accelerated Courses,Accelerated credit accrual,Dual Enrollment Courses,Tutors (Howard University School of Education),Evening Credit Recovery,Step Afrika,Female Empowerment Seminars,Male Empowerment Seminars,Jewels (Female Empowerment Group),DMV PENS,Critical Exposure,Dance Team,Student Government,Photography Club,Student Government,Behavior & Education Support,Specific Learning Support,,,,,,,,,,,,,,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,Howard University,Howard University School of Education,DMV PENS,Freshman Leadership Academy,Precious Pearls,Smithsonian Institute,Women of Excellence,Jewels Inc,Howard Society of Women Engineers,Bennett Beauty Institute,Entrepreneurship,,,,,,,,70 79 80 G2 G8 G9,,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",29,,,125,0%,97%,2%,0%,0%,0%,1%,1%,28%,100%,NA,65%,51%,35%,49%,0%,0%,0%,0%,0%,0%,23%,27%,23%,23%,5%,97%,93%,3%,7%,0%,0%,0%,0%,0%,0%,26%,21%,21%,25%,7%,58%,43%,73%,49%,46%,74%,NA,NA,NA,NA,NA,51%,NA,NA,54%,8%,57%,86%,54%,59%,78%,86%,83%,54%,14%,26%,10%,1%,2%,1%,76%,73%,90%,92%,47%,82%,64%,55%,84%,82%,75%,92%,IEP timeliness,The percentage of all IEP meetings that were held on time.,100%,100%,99%,World language enrollment,The percentage of students enrolled in one or more world language courses.,52%,73%,58%
Woodrow Wilson High School,463,3950 Chesapeake St. NW,Washington,DC,20016,-77.0777757,38.95015672,3,(202) 282-0120,(202) 282-0077,wilsonhs.org,Kim Martin,kimberly.martin@dc.gov,9th-12th,8:45 a.m. – 3:15 p.m.,"Woodrow Wilson High School, DC's largest high school, is home to a diverse student population defined by tolerance, acceptance and academic rigor. At Wilson, we strive to 'make decisions based on student learning.' The recently modernized eight acre, seven building campus was awarded LEED certification and Green Ribbon School status. More than 90% of Wilson graduates attend college and members of last year's class were accepted to over 200 colleges, universities, and junior colleges across 41 states and the District of Columbia and offered over $28 million in scholarships. Wilson currently offers college-level courses in 30 AP subject areas as well as Engineering and Bio-Medicine. Over 850 Wilson scholars are in one of the seven rigorous college and career-readiness academies. Wilson fields 20 DCIAA teams and another 20 club teams.",NAF Academy of Hospitality & Tourism,Academy of Finance,"Humanities, Arts and Media Academy",JROTC Leadership Academy,"Science, Math and Technology Academy",WRAP MC,Chartwells Food Services,New Heights,Brainfood,"Fall: Soccer, Volleyball, Football, Cross Country, Field Hockey",Wilson Musical and Plays,"World Languages:American Sign Language, Chinese, Italian, French, Latin & Spanish",Fourth Annual Arts Fest,Common Ground,"Marching Band, Concert Band, Orchestra & Jazz Ensemble",Independence & Learning Support,Non-Categorical,Sensory Support - Hearing,,,,420,405,246,,,,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,Latin American Youth Center,Kennedy Center for the Performing Arts,FIRST Robotics,NASA,DCPS-CTE,National Academy Foundation,Marriott Corporation,Wilson Alumni Association,National Institutes of Health,American Experience Foundation/Destination DC,Biomedical Sciences,Digital Media,Engineering,Finance,NAF Academy of Hospitality and Tourism,Mass Media and Communications,Computer Science,,30N 30S 31 33 96 D31 D32 D33 D34 H2 H3 H4 M4 N2 W45 W47,Red Line: Tenleytown Station,Focus,Focus schools need targeted support to address large subgroup achievement gaps relative to all schools in DC. Focus schools must develop an intervention plan to address specified subgroups and report twice a year on planned milestones.,92,Yes,Gold,1750,7%,35%,23%,0%,31%,4%,0%,7%,12%,24%,56%,16%,18%,34%,37%,28%,27%,20%,18%,2%,1%,23%,27%,23%,23%,5%,19%,44%,11%,18%,16%,17%,35%,17%,19%,4%,26%,21%,21%,25%,7%,90%,88%,73%,91%,81%,74%,56%,55%,36%,NA,NA,51%,NA,NA,54%,89%,91%,86%,83%,85%,78%,54%,40%,54%,3%,4%,10%,0%,0%,1%,93%,83%,90%,85%,80%,82%,90%,89%,84%,87%,93%,92%,,,,,,,,,,
H.D. Woodson High School,464,540 55th St. NE,Washington,DC,20019,-76.92232826,38.89678662,7,(202) 939-2030,(202) 645-4193,profiles.dcps.dc.gov/H.D.+Woodson+High+School,Darrin Slade,darrin.slade@dc.gov,9th-12th,8:45 a.m. – 3:15 p.m.,"Students who attend H.D. Woodson have the opportunity to participate in the NAF program (Information Technology / Computer Science) and also the city renowned STEM Academy. The school also offers a myriad of AP courses. 
H.D. Woodson had the most improved graduation rate in the District for the last two years (70% ) and also increased promotion rates at every grade level. The school's sports program continued to be the most dominant in the DC metro area winning the varsity boys football championship for the 3rd straight year and its second consecutive varsity boys basketball championship. The boys varsity basketball ball team also made history by finishing the season undefeated and winning the state championship. The boys varsity basketball team finished the year ranked 8th in the nation.",NAF - Information Technology,NAF Computer Science,Read 180,National Honor Society,"Science, Engineering, Technology, Mathematics",Girls Tennis,Bowling,Boys / Girls Track,JV Basketball,Flag Football,Drama Club,Chess Club,Ping Pong Club,Book Club,,Behavior & Education Support,Independence & Learning Support,Specific Learning Support,,,,421,435,,,,,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,Georgetown Tutoring,Achievers Program,United Planning Organization,UDC Community College,Nspiregreen,Coakley & Williams Construction,Inc,Hillside Work - Scholarship Connection,,,"NAF Academy of Information Technology (Computer Science, Digital Media pathways)",NAF Academy of Engineering,,,,,,,96 97 V2 V4 W4 X9,,Priority,"Priority schools need intense support to address overall low student performance, a graduation rate at or below 60% for two consecutive years, or for being previously designated a SIG school. Priority schools must develop an intervention plan that improves all students and report twice a year on meeting planned milestones.",38,,Gold,634,0%,98%,1%,0%,0%,0%,0%,1%,25%,100%,74%,38%,40%,55%,50%,7%,10%,0%,1%,0%,0%,23%,27%,23%,23%,5%,58%,66%,20%,21%,14%,9%,8%,4%,0%,0%,26%,21%,21%,25%,7%,83%,76%,73%,80%,73%,74%,4%,1%,36%,NA,NA,51%,NA,NA,54%,79%,77%,86%,61%,73%,78%,88%,70%,54%,17%,20%,10%,0%,0%,1%,96%,81%,90%,95%,83%,82%,81%,85%,84%,92%,93%,92%,,,,,,,,,,
Browne Education Campus,404,850 26th St. NE,Washington,DC,20002,-76.97066706,38.90259888,5,(202) 671-6210,(202) 671-2305,http://brownebombers.org/,Dwight Davis,dwight.davis@dc.gov,PK3-8th,8:15 a.m. - 3:15 p.m.,"At Browne Education Campus educators develop rigorous, student-centered lessons aligned to the Common Core State Standards to better prepare students for success in college and future careers. We incorporate the core values of the International Baccalaureate program to develop internationally-minded, knowledgeable, reflective, principled thinkers. We challenge ourselves, our students, our parents, and our surrounding community to become caring, educated risk-takers who inquire and take action to create a better world. We work to accomplish this by ensuring purposeful teaching and learning by every staff member, while maintaining high expectations for all learners in a stimulating and secure learning environment.",Pre-K: Tools of the Mind,"Elementary: Lexia Core 5 , Fundations/Fundations Double Dose, Junior Great Books, Saturday Scholars, 826DC Reading All Stars","Middle School: Read180, System 44, Career and College Clubs, Robotics, Saturday Scholars","Elementary/Middle School: MyOn, Reflex, iReady, Social/Emotional, Math and Reading Resource Teachers, Empowering Males of Color Literacy Mentor Partnership",Special Education: Spell/Read (Elementary),"Elementary: Track, Basketball and Cheerleading","Middle School: Track and Field, Basketball, Soccer, Baseball and Cheerleading",Archery,Volleyball,Soccer,"Full-time Library/Media Arts, World Language (French), Art Programs",Part-time Music Program,Monthly High School and College Tours (Middle School),International Baccalaureate Candidate School (Primary Years/Middle Years),,Communication & Education Support,Early Childhood Communication & Education Support,,,,,,,,,,,,457,,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,Edgewood Brookland Family Support Collaborative,St. Stephen's United Methodist Church,Martha's Table,Empowering Males of Color Literacy Mentor Partnership,Washington Tennis and Education Foundation,Warren Lodge,,,,,,,,,,,,,S41 X1 X2 X3 X8 X9,,Developing,Developing schools need support to continue growth. They have an overall index score above 25 but less than 45 and are not identified as Priority or Focus schools by any other criteria.,11,,,309,0%,94%,5%,0%,1%,0%,0%,8%,15%,100%,59%,28%,31%,40%,41%,19%,21%,13%,6%,0%,0%,23%,27%,23%,23%,5%,27%,45%,33%,32%,27%,17%,12%,7%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,55%,52%,51%,62%,39%,54%,NA,NA,NA,92%,94%,93%,15%,5%,15%,1%,6%,4%,0%,0%,0%,96%,84%,86%,96%,84%,85%,78%,70%,82%,88%,93%,92%,,,,,,,,,,
